"","team","metal","tal","metal_mad","maple","maple_mad","sos","tale","metal_plus","maple_plus","record","avg_point_diff"
"1","ARI",6.14138888888889,2.84919934640523,6.61805555555556,1.19277777777778,0.819722222222222,0.455943204365079,3.30514255077031,12.7594444444444,2.0125,"11-6-0",4.88235294117647
"2","ATL",-2.05083333333333,-2.62104575163399,5.72833333333333,-0.173888888888889,1.04222222222222,-0.90935333994709,-3.53039909158108,3.6775,0.868333333333333,"7-10-0",-8.58823529411765
"3","BAL",0.468055555555556,-0.642107843137255,4.42944444444444,-0.154166666666667,0.961388888888889,0.262210069444444,-0.37989777369281,4.8975,0.807222222222222,"8-9-0",-0.294117647058824
"4","BUF",6.3225,5.50571895424837,6.24833333333333,1.13333333333333,0.843055555555556,-0.428102843915344,5.07761611033302,12.5708333333333,1.97638888888889,"11-6-0",11.4117647058824
"5","CAR",-2.96388888888889,-0.719591503267974,4.6875,-0.521111111111111,0.738333333333333,-0.10759375,-0.827185253267974,1.72361111111111,0.217222222222222,"5-12-0",-5.88235294117647
"6","CHI",-2.31416666666667,-2.21127450980392,6.3025,-0.317222222222222,1.03027777777778,0.0441447585978836,-2.16712975120604,3.98833333333333,0.713055555555555,"6-11-0",-5.64705882352941
"7","CIN",1.33555555555556,0.983382352941176,7.21416666666667,0.323611111111111,1.09916666666667,-1.1010667989418,-0.117684446000623,8.54972222222222,1.42277777777778,"10-7-0",4.94117647058824
"8","CLE",2.61111111111111,0.862320261437908,5.01888888888889,0.330833333333333,1.20666666666667,-0.0744306382275132,0.787889623210395,7.63,1.5375,"8-9-0",-1.29411764705882
"9","DAL",4.89472222222222,4.35777777777778,8.08583333333333,0.882777777777778,1.35416666666667,0.448583994708995,4.80636177248677,12.9805555555556,2.23694444444444,"12-5-0",10.1176470588235
"10","DEN",-1.20472222222222,-0.382107843137255,6.66527777777778,-0.521944444444444,1.0275,-1.58525,-1.96735784313725,5.46055555555556,0.505555555555555,"7-10-0",0.764705882352941
"11","DET",-4.05416666666667,-4.90271241830065,6.54888888888889,-0.640277777777778,1.14083333333333,0.0111312003968254,-4.89158121790383,2.49472222222222,0.500555555555555,"3-13-1",-8.35294117647059
"12","GB",2.45111111111111,1.84187908496732,3.75,0.624166666666667,0.532777777777778,0.18644849537037,2.02832758033769,6.20111111111111,1.15694444444444,"13-4-0",4.64705882352941
"13","HOU",-3.6075,-3.46351307189543,6.35333333333333,-0.698888888888889,1.08722222222222,0.645021329365079,-2.81849174253035,2.74583333333333,0.388333333333333,"4-13-0",-10.1176470588235
"14","IND",3.56527777777778,3.96209150326797,7.17222222222222,0.593333333333333,1.19277777777778,0.662246610449735,4.62433811371771,10.7375,1.78611111111111,"9-8-0",5.05882352941176
"15","JAX",-8.365,-6.96356209150327,5.93194444444444,-1.39,0.736111111111111,0.393707175925926,-6.56985491557734,-2.43305555555556,-0.653888888888889,"3-14-0",-12
"16","KC",4.74416666666667,3.93946078431373,4.12833333333333,0.779722222222222,0.811666666666667,0.480910218253968,4.42037100256769,8.8725,1.59138888888889,"12-5-0",6.82352941176471
"17","LA",3.60694444444444,2.81116013071895,7.33083333333333,0.727777777777778,1.01138888888889,-0.0222675264550264,2.78889260426393,10.9377777777778,1.73916666666667,"12-5-0",5.17647058823529
"18","LAC",0.761666666666667,1.23602941176471,3.61833333333333,0.0405555555555556,0.720833333333333,-0.176966765873016,1.05906264589169,4.38,0.761388888888889,"9-8-0",0.882352941176471
"19","LV",-0.779722222222222,-1.34506535947712,4.82888888888889,-0.300555555555556,1.07444444444444,-0.0874305555555555,-1.43249591503268,4.04916666666667,0.773888888888889,"10-7-0",-3.82352941176471
"20","MIA",1.94194444444444,-0.0545915032679738,4.77694444444444,0.329166666666667,0.832777777777778,-0.705212136243386,-0.75980363951136,6.71888888888889,1.16194444444444,"9-8-0",-1.88235294117647
"21","MIN",2.14194444444444,1.17236928104575,3.76638888888889,0.444722222222222,0.611666666666667,0.575788194444444,1.7481574754902,5.90833333333333,1.05638888888889,"8-9-0",-0.0588235294117647
"22","NE",2.21388888888889,2.82897058823529,7.51166666666667,0.430555555555556,1.20638888888889,0.306929398148148,3.13589998638344,9.72555555555556,1.63694444444444,"10-7-0",9.35294117647059
"23","NO",-0.166666666666667,-0.686732026143791,5.33416666666667,-0.118333333333333,1.09083333333333,0.303211474867725,-0.383520551276066,5.1675,0.9725,"9-8-0",1.70588235294118
"24","NYG",-4.88694444444444,-5.00383986928105,4.76277777777778,-0.871666666666667,0.689444444444444,-0.0139358465608465,-5.01777571584189,-0.124166666666667,-0.182222222222222,"4-13-0",-9.29411764705882
"25","NYJ",-5.05555555555556,-6.12485294117647,4.69888888888889,-1.01722222222222,0.790555555555555,-0.107143435846561,-6.23199637702303,-0.356666666666666,-0.226666666666667,"4-13-0",-11.4117647058824
"26","PHI",-2.02916666666667,0.0721732026143791,6.85027777777778,-0.292777777777778,1.01972222222222,-0.783633845899471,-0.711460643285092,4.82111111111111,0.726944444444444,"9-8-0",3.47058823529412
"27","PIT",-2.70027777777778,-3.6116339869281,3.97805555555556,-0.582222222222222,0.593888888888889,0.494416583994709,-3.1172174029334,1.27777777777778,0.0116666666666667,"9-7-1",-3.23529411764706
"28","SEA",1.41722222222222,2.1653431372549,3.70055555555556,0.118333333333333,0.668888888888889,-0.486570436507936,1.67877270074697,5.11777777777778,0.787222222222222,"7-10-0",1.70588235294118
"29","SF",1.62111111111111,1.75315359477124,5.43361111111111,0.23,0.901666666666667,-0.0117738921957671,1.74137970257547,7.05472222222222,1.13166666666667,"10-7-0",3.64705882352941
"30","TB",3.79222222222222,3.98849673202614,6.18611111111111,0.758888888888889,0.917222222222222,0.182138640873016,4.17063537289916,9.97833333333333,1.67611111111111,"13-4-0",9.29411764705882
"31","TEN",4.2975,1.93109477124183,6.53222222222222,0.698055555555556,1.07222222222222,0.491985201719577,2.42307997296141,10.8297222222222,1.77027777777778,"12-5-0",3.82352941176471
"32","WAS",-2.21833333333333,-3.52799019607843,4.50166666666667,-0.404444444444444,0.603611111111111,0.655915261243386,-2.87207493483504,2.28333333333333,0.199166666666667,"7-10-0",-5.82352941176471
